,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,17.1584
40,12.757424
41,0.06538963
42,0.0
43,1.2015648
44,0.0
45,0.6198902
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,1.3702984
53,0.0
54,1.0544062
55,0.47960472
56,0.0
57,0.0
58,0.001373291
59,0.0
60,0.96290684
61,0.048641205
62,0.0
63,0.0
64,0.0
65,0.0
66,0.14163208
67,0.8282709
68,0.0
69,0.0
70,0.30513573
71,0.07365227
72,0.14777184
73,0.0
74,2.0801144
75,0.0
76,0.0
77,0.0
78,0.0
79,0.5971451
80,0.0
81,0.0
82,0.9971142
83,0.0
84,0.0
85,0.0
86,0.42834663
87,0.21181011
88,0.44867706
89,0.8342972
90,0.0
91,0.674778
92,0.0
93,0.78563786
94,0.0
95,1.3716946
96,0.0
97,1.4579368
98,0.0
99,1.3991375
100,11.083783
101,0.7823429
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.15693426
108,0.0
109,0.64484787
110,0.0
111,0.0
112,0.0
113,0.0
114,0.2933874
115,0.0
116,0.5093403
117,0.6217594
118,0.0
119,0.0
120,1.3101273
121,0.0
122,0.0
123,0.0
124,0.021341324
125,0.061086655
126,0.55713844
127,0.0
128,0.3698902
129,0.0
130,0.1829338
131,0.0
132,0.909956
133,0.0
134,0.0
135,0.0
136,0.0
137,0.2751732
138,9.1552734e-05
139,0.84306145
140,0.0
141,0.0
142,0.0
143,0.29346848
144,0.46953392
145,0.24434757
146,1.3025527
147,0.0
148,0.0
149,0.0
150,0.0
151,0.22408295
152,0.0
153,1.5922756
154,0.0
155,0.0
156,0.0
157,0.0
158,0.79089546
159,0.0
160,0.0
161,0.8743143
162,0.9952812
163,0.0
164,0.0
165,0.03466606
166,0.0
167,1.3489361
168,0.6587887
169,0.16635323
170,0.39172935
171,0.0
172,0.0
173,0.0
174,0.0
175,0.07757568
176,0.0
177,2.139843
178,0.5488682
179,0.52438545
180,0.0
181,0.0
182,0.2886467
183,1.9447737
184,0.0
185,0.0
186,0.0
187,0.1605568
188,0.15248871
189,0.0
190,0.15841675
191,0.56668043
192,0.0
193,0.0
194,0.0
195,1.7185907
196,0.0
197,0.0
198,0.031841278
